y,m,d,cate,country,city,event,link,cate_en,country_en,city_en,event_en
2021,9,,荣誉奖项,中国,广州,在建筑学院的秋季学生田径运动会男子800m比赛获得第三名,,"Honors & Awards","China","Guangzhou","Won third place in the men's 800m at the School of Architecture's Fall Student Track and Field Meet."
2021,9,,荣誉奖项,中国,广州,获得华南理工大学一等奖学金/三好学生/优秀学生干部，感谢充满爱的实践部～,,"Honors & Awards","China","Guangzhou","Received SCUT's First-Class Scholarship, Merit Student title, and Outstanding Student Cadre award. Grateful for the warm and loving Practice Department."
2021,10,,荣誉奖项,中国,广州,再一次带队的竹构作品《竹盏》获华南理工大学建筑学院2021粤港澳大湾区·东盟国际高校营造比赛暨天华竹构设计竞赛广州赛区复赛优秀奖,,"Honors & Awards","China","Guangzhou","The bamboo structure project 'Bamboo Cup,' which I led once again, won the Outstanding Award in the Guangzhou regional semifinal of the 2021 Guangdong-Hong Kong-Macao Greater Bay Area-ASEAN International Collegiate Construction Competition and Tianhua Bamboo Structure Design Competition."
2022,1,,荣誉奖项,中国,广州,参与超牛团队的竹构作品获得“城市共生，社区共建——2021凯德青少年建筑师暨中新广州知识城零碳公共空间营造大赛”三等奖,,"Honors & Awards","China","Guangzhou","Joined an amazing team whose bamboo structure project won Third Prize in the 2021 'Urban Symbiosis, Community Co-Building' Capita Young Architects Competition and the Sino-Singapore Guangzhou Knowledge City Zero-Carbon Public Space Construction Competition."
2022,10,,荣誉奖项,中国,广州,获得华南理工大学二等奖学金,,"Honors & Awards","China","Guangzhou","Received SCUT's Second-Class Scholarship."
2022,11,,学习经历,中国,广州,参与了东莞水乡新城城市设计项目的数据分析组，一个月内分析几百万条通勤数据，学了很多新工具,,"Learning Journey","China","Guangzhou","Worked on the data analysis team for the Dongguan Shuixiang New Town urban design project, analyzing millions of commuting records in one month and learning many new tools."
2023,3,,学术研究,中国,广州,项目《大湾区新增就业分布研究》获得了国家级大学生创新创业训练计划的10000元资助，导师带我们走上数据分析研究的道路,,"Research","China","Guangzhou","Our project 'Research on the Distribution of New Employment in the Greater Bay Area' received RMB 10,000 in funding from the National Undergraduate Innovation and Entrepreneurship Training Program. My advisor led us onto the path of data-driven research."
2023,3,,学习经历,中国,广州,前往番禺的中国最大的手工龙舟制作基地调研，采访非遗传承人,,"Learning Journey","China","Guangzhou","Visited China's largest handmade dragon boat production base in Panyu for field research and interviewed inheritors of intangible cultural heritage."
2023,4,,学术研究,中国,广州,在中国城市规划年会发出了人生的第一篇论文《基于招聘网数据的人才需求分布研究——以湾区九城为例》,,"Research","China","Guangzhou","Presented my first paper at the Annual National Planning Conference of China: 'Research on the Distribution of Talent Demand Based on Job Posting Data: A Case Study of Nine Greater Bay Area Cities.'"
2023,4,,学术研究,中国,广州,作为第二作者参与论文《文化传承视角下老城街巷餐饮空间布局研究-- 以广州为例》 并发表至中国城市规划年会,,"Research","China","Guangzhou","As the second author, I contributed to the paper 'A Study on the Layout of Dining Spaces in Historic Urban Streets and Alleys from the Perspective of Cultural Heritage: A Case Study of Guangzhou,' which was accepted by the Annual National Planning Conference of China."
2023,4,,学习经历,中国,广州,社会调研选题广州最大烂尾小区的居民，三次突破保安的看守进入采访，最后被邀请参加业主的端午聚会,,"Learning Journey","China","Guangzhou","For a social research project, I studied residents in Guangzhou's largest unfinished residential complex. I got past security three times to conduct interviews and was eventually invited to the residents' Dragon Boat Festival gathering."
2023,5,,荣誉奖项,中国,广州,团队作品《基于脆弱性诊断的特大城市生活必需品供应网络韧性研究》获得“挑战杯”广东大学生课外学术科技作品竞赛特等奖，傍上大腿了,,"Honors & Awards","China","Guangzhou","Our team project 'Research on the Resilience of Essential Goods Supply Networks in Mega-Cities Based on Vulnerability Diagnosis' won the Grand Prize at the Guangdong 'Challenge Cup' Extracurricular Academic and Technology Works Competition. I was lucky to be part of such a strong team."
2023,7,,学术研究,中国,广州,参与了《烟台、兰州、新乡、九江四市城市居民家庭食材及来源地调查数据集（2020）》论文的数据工作，发表到《全球变化数据学报》,,"Research","China","Guangzhou","Contributed data work to the paper 'Survey Dataset of Household Food Ingredients and Their Sources in Yantai, Lanzhou, Xinxiang, and Jiujiang (2020),' which was published in the Journal of Global Change Data & Discovery."
2023,8,19,学习经历,中国,广州,首考托福89分,,"Learning Journey","China","Guangzhou","Scored 89 on my first TOEFL attempt."
2023,8,,荣誉奖项,中国,广州,城市设计作品《生境织网，龙船环游——根植于珠江河涌水系和村落龙舟文化的洛浦岛激活计划》获得WUPEN2023城市设计学生作业国际竞赛提名奖,,"Honors & Awards","China","Guangzhou","Our urban design project 'Weaving Habitats, Boating with Dragon Boats: A Revitalization Plan for Luopu Island Rooted in the Pearl River Waterway System and Village Dragon Boat Culture' received a nomination award in the WUPEN 2023 International Competition of Student Urban Design Works."
2023,9,,学习经历,中国,广州,在没有语言成绩和作品集的情况下，放弃了保研名额,,"Learning Journey","China","Guangzhou","Gave up my recommendation-based graduate admission offer without language scores or a portfolio."
2023,9,,荣誉奖项,中国,广州,合作论文《文化传承视角下老城街巷餐饮空间布局研究-- 以广州为例》 获得2022/2023中国城市规划年会墙报展示,,"Honors & Awards","China","Guangzhou","Our collaborative paper 'A Study on the Layout of Dining Spaces in Historic Urban Streets and Alleys from the Perspective of Cultural Heritage: A Case Study of Guangzhou' was selected for poster presentation at the 2022/2023 Annual National Planning Conference of China."
2023,10,,荣誉奖项,中国,广州,获得华南理工大学二等奖学金,,"Honors & Awards","China","Guangzhou","Received SCUT's Second-Class Scholarship."
2023,11,,荣誉奖项,中国,广州,团队作品《特大城市生活必需品供应网络韧性研究——基于脆弱性诊断的仿真模拟与应急治理》获得第十八届“挑战杯”全国大学生课外学术科技作品竞赛特等奖/何镜堂院士奖学金，这下真傍上大腿了,,"Honors & Awards","China","Guangzhou","Our team project 'Resilience of Essential Goods Supply Networks in Mega-Cities: Simulation and Emergency Governance Based on Vulnerability Diagnosis' won the Grand Prize at the 18th National 'Challenge Cup' Extracurricular Academic and Technology Works Competition and the He Jingtang Academician Scholarship. I was truly lucky to be on such an outstanding team."
2023,12,20,学习经历,中国,广州,第一批申请都提交了，托福还是没过100，最后试一次，结果考了104,,"Learning Journey","China","Guangzhou","After submitting my first round of applications, my TOEFL score was still below 100. I gave it one last try and got a 104."
2024,2,21,学习经历,中国,中山,终于收到了第一个offer，来自康奈尔,,"Learning Journey","China","Zhongshan","Finally received my first offer, from Cornell."
2024,3,3,学术研究,中国,广州,作为第二作者参与专利《城市区域新增就业与经济活力测度方法、系统及存储介质》,,"Research","China","Guangzhou","As the second author, I contributed to the patent 'Method, System, and Storage Medium for Measuring New Employment and Economic Vitality in Urban Areas.'"
2024,3,5,学习经历,中国,广州,收到了宾大MCP和MUSA两个offer，是最想去也是最有可能去的项目,,"Learning Journey","China","Guangzhou","Received offers from UPenn's MCP and MUSA programs, the two programs I most wanted and was most likely to attend."
2024,5,28,学习经历,中国,北京,参与城乡规划首届八校联合毕业设计的汇报，然后和组员一起去北京天津玩了一周,,"Learning Journey","China","Beijing","Took part in the presentation for the first joint graduation design project among eight planning schools, then spent a week traveling around Beijing and Tianjin with my teammates."
2024,6,14,学习经历,中国,广州,毕业啦🎓,,"Learning Journey","China","Guangzhou","Graduated 🎓"
2024,6,14,荣誉奖项,中国,广州,毕业设计作品《“显形发展”——广州站北片区详细规划》获得华南理工大学校级本科优秀毕业设计(论文)（专业唯一）,,"Honors & Awards","China","Guangzhou","My graduation project 'Manifest Development: Detailed Planning for the North Area of Guangzhou Railway Station' won SCUT's Outstanding Undergraduate Graduation Design (Thesis) award at the university level, the only one in my major."
2024,8,17,生活足迹,美国,费城,第一次来到费城，新鲜又紧张,,"Life Journey","United States","Philadelphia","Arrived in Philadelphia for the first time, feeling both excited and nervous."
2024,8,19,生活足迹,美国,费城,City planning项目的orientation，和项目的同学见面,,"Life Journey","United States","Philadelphia","Attended the orientation for the City Planning program and met my classmates."
2024,9,,荣誉奖项,中国,广州,团队作品《显性发展，站北新篇——公法与私法配合视角下的广州火车站北片区城市更新设计》获得全国大学生城乡规划毕业设计（论文）竞赛三等奖,,"Honors & Awards","China","Guangzhou","Our team project 'Visible Development, A New Chapter for the North Station Area: Urban Renewal Design for the North Area of Guangzhou Railway Station from the Perspective of Coordinating Public and Private Law' won Third Prize in the National Undergraduate Urban and Rural Planning Graduation Design (Thesis) Competition."
2024,10,11,生活足迹,美国,纽约,时隔5年后再次踏上这座城市,,"Life Journey","United States","New York","Returned to New York after five years."
2024,10,,学习经历,美国,费城,第一个论文作业被打了C+，我发现我不是很习惯这里的学习，还在纠结读博还是就业？,,"Learning Journey","United States","Philadelphia","Got a C+ on my first paper assignment. I realized I was not yet used to studying here and was still torn between pursuing a PhD or going straight to work."
2024,11,,荣誉奖项,中国,北京,团队作品《显形发展，站北新篇——公法与私法配合视角下的广州火车站北片区城市更新设计》获得中国人居环境设计学年奖城市设计组铜奖,,"Honors & Awards","China","Beijing","Our team project 'Visible Development, A New Chapter for the North Station Area: Urban Renewal Design for the North Area of Guangzhou Railway Station from the Perspective of Coordinating Public and Private Law' won the Bronze Award in the Urban Design category of the China Human Settlements Annual Design Awards."
2024,12,19,生活足迹,美国,明尼苏达州,坐两个钟飞机和一个钟的车到Rochester探访初中的同桌,,"Life Journey","United States","Minnesota","Took a two-hour flight and a one-hour drive to Rochester to visit my deskmate from middle school."
2024,12,21,生活足迹,美国,芝加哥,去了芝加哥的千禧广场，密歇根大道，星巴克大厦，麦当劳大学,,"Life Journey","United States","Chicago","Visited Millennium Park, Michigan Avenue, the Starbucks Reserve Roastery, and Hamburger University in Chicago."
2024,12,31,生活足迹,西班牙,巴塞罗那,在巴塞罗那国家广场跨年,,"Life Journey","Spain","Barcelona","Spent New Year's Eve at Placa d'Espanya in Barcelona."
2024,1,5,生活足迹,西班牙,毕尔巴鄂,古根海姆博物馆，权力的游戏龙石岛,,"Life Journey","Spain","Bilbao","Visited the Guggenheim Museum and Dragonstone from Game of Thrones."
2024,1,9,生活足迹,英国,伦敦,大本钟，伦敦眼一夜游,,"Life Journey","United Kingdom","London","Spent an evening visiting Big Ben and the London Eye."
2024,1,8,生活足迹,法国,巴黎,卢浮宫，巴黎铁塔，巴黎迪士尼,,"Life Journey","France","Paris","Visited the Louvre, the Eiffel Tower, and Disneyland Paris."
2025,3,1,生活足迹,美国,费城,投递了多个规划实习被ghost。我更深入的了解和比较行业的前景，以及自己到底想做什么后，我下决心要转行,,"Life Journey","United States","Philadelphia","Applied for multiple planning internships and got ghosted. After digging deeper into the industry's prospects and what I truly wanted to do, I decided to change career tracks."
2025,3,11,生活足迹,美国,迈阿密,春假出游迈阿密，自驾前往Key west，被评为我最喜爱的美国城市（因为气候温暖湿润宜人）,,"Life Journey","United States","Miami","Traveled to Miami for spring break and drove to Key West. It became my favorite city in the U.S. because of its warm, humid, and pleasant climate."
2025,4,,学习经历,美国,费城,整个月都在准备暑期实习面试和应付final作业中维持着脆弱的平衡，又焦虑又累,,"Learning Journey","United States","Philadelphia","Spent the entire month trying to keep a fragile balance between preparing for summer internship interviews and surviving final assignments, feeling both anxious and exhausted."
2025,5,14,生活足迹,中国,中山,回国后的一周我经历了高强度的面试，但收获寥寥,,"Life Journey","China","Zhongshan","In the first week after returning to China, I went through an intense round of interviews but gained very little."
2025,6,1,生活足迹,中国,大同,儿童节到访龙门石窟，应县木塔，悬空寺。太神奇了！发现北方的面比南方的好吃太多！,,"Life Journey","China","Datong","On Children's Day, I visited the Longmen Grottoes, the Yingxian Wooden Pagoda, and the Hanging Temple. It was magical. I also discovered that northern noodles are far better than southern ones."
2025,6,6,生活足迹,中国,北京,焦虑到极点的时候收到了美团的产品offer，最爱的歌是《我们都拥有海洋》,,"Life Journey","China","Beijing","At the peak of my anxiety, I received a product offer from Meituan. My favorite song was 'We All Have an Ocean.'"
2025,6,9,学习经历,中国,北京,在美团地图部门实习，负责道路数据生产的策略评估，AI提效和大模型微调。每天看文档学习好多知识，不断进步，是一段美好快乐的时光。,,"Learning Journey","China","Beijing","Interned on Meituan Maps, working on strategy evaluation for road data production, AI efficiency improvements, and large model fine-tuning. I learned so much from reading docs every day and kept improving. It was a happy and memorable time."
2025,7,,生活足迹,中国,北京,在北京期间，去了环球、青岛、天津、唐山，每个周末都在出去玩,,"Life Journey","China","Beijing","While in Beijing, I visited Universal Studios, Qingdao, Tianjin, and Tangshan. I was out exploring every weekend."
2025,8,1,生活足迹,中国,北京,人生第一场演唱会是在鸟巢看五月天5525+1，最喜欢的歌是《倔强》,,"Life Journey","China","Beijing","My first concert ever was Mayday 5525+1 at the Bird's Nest, and my favorite song was 'Stubborn.'"
2025,8,14,学习经历,中国,中山,收到了美团的转正offer，来自努力和恰好的运气，但北方的天气让我想回广东工作,,"Learning Journey","China","Zhongshan","Received a full-time return offer from Meituan. It came from hard work and a bit of well-timed luck, but the northern weather made me want to return to Guangdong for work."
2025,8,23,生活足迹,美国,San Francisco,飞了十几个钟再次回到美国，我的目标更清晰,,"Life Journey","United States","San Francisco","After a flight of more than ten hours, I returned to the U.S. with a clearer sense of my goals."
2025,10,4,生活足迹,美国,波士顿,波士顿比费城美太多,,"Life Journey","United States","Boston","Boston is so much prettier than Philadelphia."
2025,10,16,生活足迹,美国,维尔京群岛,课程实地调研维尔京群岛一周，我对海岛的社会经济地理认识更深了,,"Life Journey","United States","Virgin Islands","Spent a week in the Virgin Islands for field research through a course, which deepened my understanding of the socio-economic geography of islands."
2025,11,13,学习经历,美国,费城,收到综合产品设计Certificate的offer，日子好起来了，感谢宾大的机会～产品课程扩大了我的知识面和认知,,"Learning Journey","United States","Philadelphia","Received an offer for the Integrated Product Design Certificate. Life started to look up, and I am grateful for the opportunity at Penn. Product courses broadened my knowledge and perspective."
2025,11,30,生活足迹,美国,犹他州,感恩节公路自驾刷了三个国家公园：Bryce Canyon、Antelope Canyon、Zion,,"Life Journey","United States","Utah","Over Thanksgiving, I road-tripped through Bryce Canyon, Antelope Canyon, and Zion."
2025,12,5,学习经历,美国,费城,我的dashboard被选为最受期待的5个项目之一，获得了汇报展示的机会,,"Learning Journey","United States","Philadelphia","My dashboard was selected as one of the five most anticipated projects, and I got the chance to present it."
2025,12,15,学习经历,美国,费城,Planning Studio 2被自认为是最差的设计课，反思中…,,"Learning Journey","United States","Philadelphia","I considered Planning Studio 2 my weakest design studio so far. Still reflecting on it..."
2025,12,25,生活足迹,巴西,圣保罗,第一次踏上南美大陆,,"Life Journey","Brazil","Sao Paulo","Set foot in South America for the first time."
2025,12,28,生活足迹,巴西,博拉图,第一次浮潜 🤿,,"Life Journey","Brazil","Bonito","Went snorkeling for the first time 🤿."
2026,1,1,生活足迹,巴西,里约,参加百万人的跨年沙滩烟花倒数活动,,"Life Journey","Brazil","Rio de Janeiro","Joined the beach fireworks countdown with a million people in Rio on New Year's Eve."
2026,1,2,生活足迹,智利,Punta,到达大陆的最南端🇨🇱智利的Punta，乘船穿越麦哲伦海峡到企鹅岛,,"Life Journey","Chile","Punta Arenas","Arrived in Punta Arenas, Chile, at the southern tip of the continent, and crossed the Strait of Magellan by boat to Penguin Island."
2026,1,3,生活足迹,智利,巴塔哥尼亚,百内国家公园自驾，乘船参观格雷冰川,,"Life Journey","Chile","Patagonia","Drove through Torres del Paine National Park and took a boat to see Grey Glacier."
2026,1,8,生活足迹,秘鲁,库斯科,🇵🇪 秘鲁马丘比丘遗址，刷新了海拔3900米的个人最高纪录,,"Life Journey","Peru","Cusco","Visited Machu Picchu in Peru 🇵🇪 and reached a personal high-altitude record of 3,900 meters."
2026,1,23,生活足迹,美国,Blue Mountain,第一次滑雪，从山上摔到山脚 🏳️,,"Life Journey","United States","Blue Mountain","Went skiing for the first time and basically fell all the way from the top to the bottom 🏳️."
2026,1,25,学习经历,美国,费城,我的idea在Product Design课上投票第一名,,"Learning Journey","United States","Philadelphia","My idea won first place in the vote in Product Design class."
2026,4,8,学习经历,美国,费城,和随机组队的小组成员在Needfinding拿了黑客松的第一名🥇,,"Learning Journey","United States","Philadelphia","Together with randomly assigned teammates, I won first place at the Needfinding hackathon 🥇."
2026,4,18,学习经历,美国,费城,完成与宾大动物学院合作的研究项目，并受邀参加会议汇报，感谢smart cities practicum的机会,https://wildlife-project-inky.vercel.app,"Learning Journey","United States","Philadelphia","Completed a research project in collaboration with Penn Vet and was invited to present at a conference. Grateful for the opportunity from Smart Cities Practicum."
